Username,Repo_Name,Stars,Repo_URL
public-apis,public-apis,181000,https://github.com/public-apis/public-apis
neovim,neovim,51000,https://github.com/neovim/neovim
strapi,strapi,43300,https://github.com/strapi/strapi
tiangolo,fastapi,42000,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,36500,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33700,https://github.com/slatedocs/slate
hasura,graphql-engine,25600,https://github.com/hasura/graphql-engine
YMFE,yapi,23600,https://github.com/YMFE/yapi
ccxt,ccxt,23400,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,22900,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,22900,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22000,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20100,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,19700,https://github.com/Kong/insomnia
microsoft,api-guidelines,18600,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17100,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16900,https://github.com/shieldfy/API-Security-Checklist
directus,directus,13900,https://github.com/directus/directus
ChainSafe,web3.js,13700,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,13600,https://github.com/learn-anything/learn-anything
youfou,wxpy,13100,https://github.com/youfou/wxpy
jsdoc,jsdoc,12700,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12500,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11900,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11300,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11100,https://github.com/graphile/postgraphile
go-chi,chi,11000,https://github.com/go-chi/chi
postmanlabs,httpbin,10600,https://github.com/postmanlabs/httpbin
star7th,showdoc,10300,https://github.com/star7th/showdoc
