Username,Repo_Name,Stars,Repo_URL
jwasham,coding-interview-university,210000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,147000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,136000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,130000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,66300,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,56300,https://github.com/kdn251/interviews
azl397985856,leetcode,46600,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,44400,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36400,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26600,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24800,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,23500,https://github.com/halfrost/LeetCode-Go
youngyangyang04,leetcode-master,22800,https://github.com/youngyangyang04/leetcode-master
huihut,interview,22500,https://github.com/huihut/interview
keon,algorithms,20400,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,18900,https://github.com/trekhleb/homemade-machine-learning
TheAlgorithms,C-Plus-Plus,18100,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,17700,https://github.com/TheAlgorithms/Javascript
mxgmn,WaveFunctionCollapse,17400,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,14500,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13200,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,12000,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,10600,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10500,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9400,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7500,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7100,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,7100,https://github.com/LeetCode-OpenSource/vscode-leetcode
