Username,Repo_Name,Stars,Repo_URL
flutter,flutter,137000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,87600,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,61600,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,49500,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45100,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42100,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41600,https://github.com/square/okhttp
android,architecture-samples,40200,https://github.com/android/architecture-samples
square,retrofit,39600,https://github.com/square/retrofit
Solido,awesome-flutter,39500,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34700,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34100,https://github.com/fastlane/fastlane
airbnb,lottie-android,32400,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32299,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32200,https://github.com/bumptech/glide
Trinea,android-open-project,30800,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30400,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30200,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30000,https://github.com/bilibili/ijkplayer
zxing,zxing,29200,https://github.com/zxing/zxing
skylot,jadx,29100,https://github.com/skylot/jadx
laurent22,joplin,28300,https://github.com/laurent22/joplin
codepath,android_guides,27700,https://github.com/codepath/android_guides
square,leakcanary,27200,https://github.com/square/leakcanary
alibaba,fastjson,24100,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23300,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22600,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22000,https://github.com/react-native-elements/react-native-elements
google,iosched,21200,https://github.com/google/iosched
NativeScript,NativeScript,20900,https://github.com/NativeScript/NativeScript
