Username,Repo_Name,Stars,Repo_URL
ansible,ansible,52200,https://github.com/ansible/ansible
trailofbits,algo,24600,https://github.com/trailofbits/algo
StreisandEffect,streisand,22600,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,21300,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11900,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10700,https://github.com/ansible/awx
easzlab,kubeasz,7800,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5500,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5400,https://github.com/khuedoan/homelab
ansible-semaphore,semaphore,4700,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4500,https://github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4400,https://github.com/geerlingguy/mac-dev-playbook
Tikam02,DevOps-Guide,4300,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,4200,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3400,https://github.com/clong/DetectionLab
ansible-community,molecule,3300,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3100,https://github.com/opendevops-cn/opendevops
werf,werf,3000,https://github.com/werf/werf
MichaelCade,90DaysOfDevOps,2900,https://github.com/MichaelCade/90DaysOfDevOps
welliamcao,OpsManage,2900,https://github.com/welliamcao/OpsManage
netbootxyz,netboot.xyz,2900,https://github.com/netbootxyz/netboot.xyz
ansible-community,ansible-lint,2700,https://github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2600,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2600,https://github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2500,https://github.com/litmuschaos/litmus
roots,trellis,2300,https://github.com/roots/trellis
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2000,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2000,https://github.com/pytest-dev/pytest-testinfra
