Username,Repo_Name,Stars,Repo_URL
arendst,Tasmota,17200,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,12700,https://github.com/MarlinFirmware/Marlin
rwaldron,johnny-five,12500,https://github.com/rwaldron/johnny-five
arduino,Arduino,12500,https://github.com/arduino/Arduino
SpacehuhnTech,esp8266_deauther,9600,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9500,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8200,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7600,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7400,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5700,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5600,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5000,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3600,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3400,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3300,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3200,https://github.com/NectarJS/nectarjs
olikraus,u8g2,2900,https://github.com/olikraus/u8g2
gioblu,PJON,2600,https://github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2500,https://github.com/1technophile/OpenMQTTGateway
Serial-Studio,Serial-Studio,2300,https://github.com/Serial-Studio/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2100,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2000,https://github.com/crankyoldgit/IRremoteESP8266
scottbez1,splitflap,2000,https://github.com/scottbez1/splitflap
nRF24,RF24,1800,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1800,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1700,https://github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1700,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1600,https://github.com/ThingPulse/esp8266-oled-ssd1306
