Username,Repo_Name,Stars,Repo_URL
sindresorhus,awesome,190000,https://github.com/sindresorhus/awesome
vinta,awesome-python,117000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,78200,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,75800,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,60400,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,53200,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,52600,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,49500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,47800,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,45200,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43900,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42100,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,39500,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39300,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,39000,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,38800,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,37500,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,36000,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33900,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33200,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31400,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29500,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29400,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29000,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26200,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,24400,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,23900,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23000,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22400,https://github.com/sindresorhus/awesome-electron
