Username,Repo_Name,Stars,Repo_URL
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,55600,https://github.com/nvm-sh/nvm
junegunn,fzf,42200,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,30300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,27900,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27500,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,27100,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,25500,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,23000,https://github.com/alebcay/awesome-shell
starship,starship,22700,https://github.com/starship/starship
jaywcjlove,linux-command,18000,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14500,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14400,https://github.com/dylanaraps/neofetch
rbenv,rbenv,14000,https://github.com/rbenv/rbenv
powerline,powerline,13100,https://github.com/powerline/powerline
shelljs,shelljs,13000,https://github.com/shelljs/shelljs
Bash-it,bash-it,12800,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12400,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12400,https://github.com/faressoft/terminalizer
withfig,autocomplete,11500,https://github.com/withfig/autocomplete
denisidoro,navi,10300,https://github.com/denisidoro/navi
codota,TabNine,9000,https://github.com/codota/TabNine
rgcr,m-cli,8800,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8600,https://github.com/alexanderepstein/Bash-Snippets
direnv,direnv,8500,https://github.com/direnv/direnv
kanaka,mal,8400,https://github.com/kanaka/mal
skywind3000,awesome-cheatsheets,8200,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,7900,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7500,https://github.com/angristan/openvpn-install
extrawurst,gitui,7300,https://github.com/extrawurst/gitui
