Username,Repo_Name,Stars,Repo_URL
CSSEGISandData,COVID-19,28300,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6900,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6800,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6300,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5000,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2800,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://github.com/disease-sh/API
geohot,corona,2200,https://github.com/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
ahmadawais,corona-cli,1800,https://github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1800,https://github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
github,covid19-dashboard,1500,https://github.com/github/covid19-dashboard
soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
covidpass-org,covidpass,1200,https://github.com/covidpass-org/covidpass
pomber,covid19,1200,https://github.com/pomber/covid19
chandrikadeb7,Face-Mask-Detection,1200,https://github.com/chandrikadeb7/Face-Mask-Detection
datasets,covid-19,1100,https://github.com/datasets/covid-19
chrismattmann,tika-python,1100,https://github.com/chrismattmann/tika-python
FoldingAtHome,coronavirus,1100,https://github.com/FoldingAtHome/coronavirus
lindawangg,COVID-Net,1100,https://github.com/lindawangg/COVID-Net
cyberman54,ESP32-Paxcounter,985,https://github.com/cyberman54/ESP32-Paxcounter
ImperialCollegeLondon,covid19model,943,https://github.com/ImperialCollegeLondon/covid19model
UCSD-AI4H,COVID-CT,930,https://github.com/UCSD-AI4H/COVID-CT
MoH-Malaysia,covid19-public,908,https://github.com/MoH-Malaysia/covid19-public
nychealth,coronavirus-data,908,https://github.com/nychealth/coronavirus-data
makers-for-life,makair,770,https://github.com/makers-for-life/makair
