Username,Repo_Name,Stars,Repo_URL
iamadamdev,bypass-paywalls-chrome,22300,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,17100,https://github.com/refined-github/refined-github
checkly,headless-recorder,13900,https://github.com/checkly/headless-recorder
darkreader,darkreader,13000,https://github.com/darkreader/darkreader
unbug,codelf,12300,https://github.com/unbug/codelf
crimx,ext-saladict,8700,https://github.com/crimx/ext-saladict
Anarios,return-youtube-dislike,8400,https://github.com/Anarios/return-youtube-dislike
listen1,listen1_chrome_extension,8200,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7700,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,6600,https://github.com/alyssaxuu/screenity
dailydotdev,daily,5700,https://github.com/dailydotdev/daily
Kenshin,simpread,5500,https://github.com/Kenshin/simpread
gildas-lormeau,SingleFile,4800,https://github.com/gildas-lormeau/SingleFile
manojVivek,medium-unlimited,4600,https://github.com/manojVivek/medium-unlimited
dessant,buster,4500,https://github.com/dessant/buster
ajayyy,SponsorBlock,4100,https://github.com/ajayyy/SponsorBlock
altair-graphql,altair,4000,https://github.com/altair-graphql/altair
zxlie,FeHelper,3900,https://github.com/zxlie/FeHelper
webclipper,web-clipper,3900,https://github.com/webclipper/web-clipper
openstyles,stylus,3800,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js
Kholid060,automa,3500,https://github.com/Kholid060/automa
honestbleeps,Reddit-Enhancement-Suite,3400,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3400,https://github.com/WorldBrain/Memex
alyssaxuu,omni,3400,https://github.com/alyssaxuu/omni
vinta,pangu.js,3300,https://github.com/vinta/pangu.js
ronggang,PT-Plugin-Plus,3100,https://github.com/ronggang/PT-Plugin-Plus
