Username,Repo_Name,Stars,Repo_URL
electron,electron,100000,https://github.com/electron/electron
microsoft,playwright,34600,https://github.com/microsoft/playwright
FiloSottile,mkcert,33800,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,22300,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,21800,https://github.com/ovity/octotree
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,18000,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13900,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12400,https://github.com/google/WebFundamentals
casesandberg,react-color,10400,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9500,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8700,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
MetaMask,metamask-extension,7300,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,7300,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6600,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6100,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5500,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4900,https://github.com/MontFerret/ferret
gildas-lormeau,SingleFile,4800,https://github.com/gildas-lormeau/SingleFile
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
themerdev,themer,4600,https://github.com/themerdev/themer
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
moonD4rk,HackBrowserData,4200,https://github.com/moonD4rk/HackBrowserData
browserless,chrome,4100,https://github.com/browserless/chrome
ajayyy,SponsorBlock,4100,https://github.com/ajayyy/SponsorBlock
brookhong,Surfingkeys,3900,https://github.com/brookhong/Surfingkeys
