Username,Repo_Name,Stars,Repo_URL
realm,SwiftLint,15800,https://github.com/realm/SwiftLint
facebook,infer,13000,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9600,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6600,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6500,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6500,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,5800,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4800,https://github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,4400,https://github.com/simplecov-ruby/simplecov
detekt,detekt,4300,https://github.com/detekt/detekt
import-js,eslint-plugin-import,3800,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,3800,https://github.com/PyCQA/pylint
pmd,pmd,3700,https://github.com/pmd/pmd
phpro,grumphp,3700,https://github.com/phpro/grumphp
htmlhint,HTMLHint,2800,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2500,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2300,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1900,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1800,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1100,https://github.com/Tencent/feflow
urish,typewiz,1100,https://github.com/urish/typewiz
Tencent,CodeAnalysis,1000,https://github.com/Tencent/CodeAnalysis
jakzal,phpqa,993,https://github.com/jakzal/phpqa
joshuaclayton,unused,874,https://github.com/joshuaclayton/unused
imgbot,Imgbot,863,https://github.com/imgbot/Imgbot
SonarSource,SonarJS,787,https://github.com/SonarSource/SonarJS
pdepend,pdepend,783,https://github.com/pdepend/pdepend
SonarSource,SonarTS,767,https://github.com/SonarSource/SonarTS
